productCategoryRankId,countryCode,productCategoryId,rankingThreshold,rankingThresholdPercentage
,FR,18,845310,0.20000
,FR,18,633982,0.15000
,FR,18,422655,0.10000
,FR,18,211327,0.05000
,FR,18,169062,0.04000
,FR,18,126796,0.03000
,FR,18,84531,0.02000
,FR,18,63398,0.01500
,FR,18,42265,0.01000
,FR,18,21133,0.00500
,FR,18,4227,0.00100
,FR,18,2113,0.00050
,FR,18,423,0.00010
,FR,18,0,0.00000
,FR,19,4047498,1.00000
,FR,19,2023749,0.50000
,FR,19,1618999,0.40000
,FR,19,1214249,0.30000
,FR,19,809500,0.20000
,FR,19,607125,0.15000
,FR,19,404750,0.10000
,FR,19,202375,0.05000
,FR,19,161900,0.04000
,FR,19,121425,0.03000
,FR,19,80950,0.02000
,FR,19,60712,0.01500
,FR,19,40475,0.01000
,FR,19,20237,0.00500
,FR,19,4047,0.00100
,FR,19,2024,0.00050
,FR,19,405,0.00010
,FR,19,0,0.00000
,FR,20,3232303,1.00000
,FR,20,1616152,0.50000
,FR,20,1292921,0.40000
,FR,20,969691,0.30000
,FR,20,646461,0.20000
,FR,20,484845,0.15000
,FR,20,323230,0.10000
,FR,20,161615,0.05000
,FR,20,129292,0.04000
,FR,20,96969,0.03000
,FR,20,64646,0.02000
,FR,20,48485,0.01500
,FR,20,32323,0.01000
,FR,20,16162,0.00500
,FR,20,3232,0.00100
,FR,20,1616,0.00050
,FR,20,323,0.00010
,FR,20,0,0.00000
,FR,21,3222681,1.00000
,FR,21,1611341,0.50000
,FR,21,1289072,0.40000
,FR,21,966804,0.30000
,FR,21,644536,0.20000
,FR,21,483402,0.15000
,FR,21,322268,0.10000
,FR,21,161134,0.05000
,FR,21,128907,0.04000
,FR,21,96680,0.03000
,FR,21,64454,0.02000
,FR,21,48340,0.01500
,FR,21,32227,0.01000
,FR,21,16113,0.00500
,FR,21,3223,0.00100
,FR,21,1611,0.00050
,FR,21,322,0.00010
,FR,21,0,0.00000
,FR,22,4239624,1.00000
,FR,22,2119812,0.50000
,FR,22,1695850,0.40000
,FR,22,1271887,0.30000
,FR,22,847925,0.20000
,FR,22,635944,0.15000
,FR,22,423962,0.10000
,FR,22,211981,0.05000
,FR,22,169585,0.04000
,FR,22,127189,0.03000
,FR,22,84792,0.02000
,FR,22,63594,0.01500
,FR,22,42396,0.01000
,FR,22,21198,0.00500
,FR,22,4240,0.00100
,FR,22,2120,0.00050
,FR,22,424,0.00010
,FR,22,0,0.00000
,FR,23,4163528,1.00000
,FR,23,2081764,0.50000
,FR,23,1665411,0.40000
,FR,23,1249058,0.30000
,FR,23,832706,0.20000
,FR,23,624529,0.15000
,FR,23,416353,0.10000
,FR,23,208176,0.05000
,FR,23,166541,0.04000
,FR,23,124906,0.03000
,FR,23,83271,0.02000
,FR,23,62453,0.01500
,FR,23,41635,0.01000
,FR,23,20818,0.00500
,FR,23,4164,0.00100
,FR,23,2082,0.00050
,FR,23,416,0.00010
,FR,23,0,0.00000
,DE,1,5658390,1.00000
,DE,1,2829195,0.50000
,DE,1,2263356,0.40000
,DE,1,1697517,0.30000
,DE,1,1131678,0.20000
,DE,1,848759,0.15000
,DE,1,565839,0.10000
,DE,1,282920,0.05000
,DE,1,226336,0.04000
,DE,1,169752,0.03000
,DE,1,113168,0.02000
,DE,1,84876,0.01500
,DE,1,56584,0.01000
,DE,1,28292,0.00500
,DE,1,5658,0.00100
,DE,1,2829,0.00050
,DE,1,566,0.00010
,DE,1,0,0.00000
,DE,2,7544640,1.00000
,DE,2,3772320,0.50000
,DE,2,3017856,0.40000
,DE,2,2263392,0.30000
,DE,2,1508928,0.20000
,DE,2,1131696,0.15000
,DE,2,754464,0.10000
,DE,2,377232,0.05000
,DE,2,301786,0.04000
,DE,2,226339,0.03000
,DE,2,150893,0.02000
,DE,2,113170,0.01500
,DE,2,75446,0.01000
,DE,2,37723,0.00500
,DE,2,7545,0.00100
,DE,2,3772,0.00050
,DE,2,754,0.00010
,DE,2,0,0.00000
,DE,3,7755329,1.00000
,DE,3,3877665,0.50000
,DE,3,3102132,0.40000
,DE,3,2326599,0.30000
,DE,3,1551066,0.20000
,DE,3,1163299,0.15000
,DE,3,775533,0.10000
,DE,3,387766,0.05000
,DE,3,310213,0.04000
,DE,3,232660,0.03000
,DE,3,155107,0.02000
,DE,3,116330,0.01500
,DE,3,77553,0.01000
,DE,3,38777,0.00500
,DE,3,7755,0.00100
,DE,3,3878,0.00050
,DE,3,776,0.00010
,DE,3,0,0.00000
,DE,4,8846720,1.00000
,DE,4,4423360,0.50000
,DE,4,3538688,0.40000
,DE,4,2654016,0.30000
,DE,4,1769344,0.20000
,DE,4,1327008,0.15000
,DE,4,884672,0.10000
,DE,4,442336,0.05000
,DE,4,353869,0.04000
,DE,4,265402,0.03000
,DE,4,176934,0.02000
,DE,4,132701,0.01500
,DE,4,88467,0.01000
,DE,4,44234,0.00500
,DE,4,8847,0.00100
,DE,4,4423,0.00050
,DE,4,885,0.00010
,DE,4,0,0.00000
,DE,5,10625541,1.00000
,DE,5,5312771,0.50000
,DE,5,4250216,0.40000
,DE,5,3187662,0.30000
,DE,5,2125108,0.20000
,DE,5,1593831,0.15000
,DE,5,1062554,0.10000
,DE,5,531277,0.05000
,DE,5,425022,0.04000
,DE,5,318766,0.03000
,DE,5,212511,0.02000
,DE,5,159383,0.01500
,DE,5,106255,0.01000
,DE,5,53128,0.00500
,DE,5,10626,0.00100
,DE,5,5313,0.00050
,DE,5,1063,0.00010
,DE,5,0,0.00000
,DE,6,7205591,1.00000
,DE,6,3602796,0.50000
,DE,6,2882236,0.40000
,DE,6,2161677,0.30000
,DE,6,1441118,0.20000
,DE,6,1080839,0.15000
,DE,6,720559,0.10000
,DE,6,360280,0.05000
,DE,6,288224,0.04000
,DE,6,216168,0.03000
,DE,6,144112,0.02000
,DE,6,108084,0.01500
,DE,6,72056,0.01000
,DE,6,36028,0.00500
,DE,6,7206,0.00100
,DE,6,3603,0.00050
,DE,6,721,0.00010
,DE,6,0,0.00000
,DE,7,5382344,1.00000
,DE,7,2691172,0.50000
,DE,7,2152938,0.40000
,DE,7,1614703,0.30000
,DE,7,1076469,0.20000
,DE,7,807352,0.15000
,DE,7,538234,0.10000
,DE,7,269117,0.05000
,DE,7,215294,0.04000
,DE,7,161470,0.03000
,DE,7,107647,0.02000
,DE,7,80735,0.01500
,DE,7,53823,0.01000
,DE,7,26912,0.00500
,DE,7,5382,0.00100
,DE,7,2691,0.00050
,DE,7,538,0.00010
,DE,7,0,0.00000
,DE,8,7726261,1.00000
,DE,8,3863131,0.50000
,DE,8,3090504,0.40000
,DE,8,2317878,0.30000
,DE,8,1545252,0.20000
,DE,8,1158939,0.15000
,DE,8,772626,0.10000
,DE,8,386313,0.05000
,DE,8,309050,0.04000
,DE,8,231788,0.03000
,DE,8,154525,0.02000
,DE,8,115894,0.01500
,DE,8,77263,0.01000
,DE,8,38631,0.00500
,DE,8,7726,0.00100
,DE,8,3863,0.00050
,DE,8,773,0.00010
,DE,8,0,0.00000
,DE,9,7584997,1.00000
,DE,9,3792499,0.50000
,DE,9,3033999,0.40000
,DE,9,2275499,0.30000
,DE,9,1516999,0.20000
,DE,9,1137750,0.15000
,DE,9,758500,0.10000
,DE,9,379250,0.05000
,DE,9,303400,0.04000
,DE,9,227550,0.03000
,DE,9,151700,0.02000
,DE,9,113775,0.01500
,DE,9,75850,0.01000
,DE,9,37925,0.00500
,DE,9,7585,0.00100
,DE,9,3792,0.00050
,DE,9,758,0.00010
,DE,9,0,0.00000
,DE,10,7703672,1.00000
,DE,10,3851836,0.50000
,DE,10,3081469,0.40000
,DE,10,2311102,0.30000
,DE,10,1540734,0.20000
,DE,10,1155551,0.15000
,DE,10,770367,0.10000
,DE,10,385184,0.05000
,DE,10,308147,0.04000
,DE,10,231110,0.03000
,DE,10,154073,0.02000
,DE,10,115555,0.01500
,DE,10,77037,0.01000
,DE,10,38518,0.00500
,DE,10,7704,0.00100
,DE,10,3852,0.00050
,DE,10,770,0.00010
,DE,10,0,0.00000
,DE,11,7621786,1.00000
,DE,11,3810893,0.50000
,DE,11,3048714,0.40000
,DE,11,2286536,0.30000
,DE,11,1524357,0.20000
,DE,11,1143268,0.15000
,DE,11,762179,0.10000
,DE,11,381089,0.05000
,DE,11,304871,0.04000
,DE,11,228654,0.03000
,DE,11,152436,0.02000
,DE,11,114327,0.01500
,DE,11,76218,0.01000
,DE,11,38109,0.00500
,DE,11,7622,0.00100
,DE,11,3811,0.00050
,DE,11,762,0.00010
,DE,11,0,0.00000
,DE,12,7539235,1.00000
,DE,12,3769618,0.50000
,DE,12,3015694,0.40000
,DE,12,2261771,0.30000
,DE,12,1507847,0.20000
,DE,12,1130885,0.15000
,DE,12,753924,0.10000
,DE,12,376962,0.05000
,DE,12,301569,0.04000
,DE,12,226177,0.03000
,DE,12,150785,0.02000
,DE,12,113089,0.01500
,DE,12,75392,0.01000
,DE,12,37696,0.00500
,DE,12,7539,0.00100
,DE,12,3770,0.00050
,DE,12,754,0.00010
,DE,12,0,0.00000
,DE,13,10632141,1.00000
,DE,13,5316071,0.50000
,DE,13,4252856,0.40000
,DE,13,3189642,0.30000
,DE,13,2126428,0.20000
,DE,13,1594821,0.15000
,DE,13,1063214,0.10000
,DE,13,531607,0.05000
,DE,13,425286,0.04000
,DE,13,318964,0.03000
