afnRemovalOrderDetailId,afnRemovalOrderId,skuId,fnsku,disposition,requestedQuantity,cancelledQuantity,disposedQuantity,shippedQuantity,inProcessQuantity,removalFee,currency
,57,3623,X001HWCU5L,Unsellable,3,3,,0,0,,
,57,3611,X001ID0GNH,Unsellable,1,0,,1,0,0.55,EUR
,58,2741,X00180I6E1,Unsellable,1,0,,1,0,0.55,EUR
,58,2681,X00180K9NH,Unsellable,1,0,,1,0,0.55,EUR
,58,3623,X001HWCU5L,Unsellable,3,3,,0,0,,
,59,3121,X0019AF95J,Unsellable,1,0,,1,0,0.30,EUR
,59,3417,X001FVFLR3,Unsellable,2,0,,2,0,0.60,EUR
,59,3539,X001GLGPCH,Unsellable,1,0,,1,0,0.65,EUR
,59,3563,X001HABPP9,Unsellable,1,0,,1,0,1.00,EUR
,60,3392,X001FVFLNR,Unsellable,1,0,,1,0,4.00,EUR
,60,3417,X001FVFLR3,Unsellable,2,2,,0,0,,
,60,3623,X001HWCU5L,Unsellable,1,1,,0,0,,
,61,3545,X001GLJ03X,Unsellable,12,0,,12,0,3.00,EUR
,62,3409,X001FVIVW5,Sellable,1,0,1,,0,0.40,EUR
,63,3408,X001FVFLN7,Unsellable,1,0,,1,0,1.00,EUR
,63,3496,X001GXKNI7,Unsellable,1,0,,1,0,0.30,EUR
,64,2850,X001878EIH,Unsellable,1,1,,0,0,,
,64,3490,X001GXJHR5,Unsellable,1,0,,1,0,1.00,EUR
,65,3551,X001GLJ01F,Unsellable,1,0,,1,0,0.55,EUR
,66,3406,X001FVIVWF,Unsellable,1,0,,1,0,1.00,EUR
,67,2741,X00180I6E1,Unsellable,1,1,,0,0,,
,67,2681,X00180K9NH,Unsellable,1,1,,0,0,,
,67,3430,X001FVJPCZ,Unsellable,1,0,,1,0,1.00,EUR
,67,3394,X001FVJPEX,Unsellable,1,0,,1,0,0.30,EUR
,67,3468,X001GFIF35,Unsellable,1,0,,1,0,0.30,EUR
,68,3121,X0019AF95J,Unsellable,1,0,,1,0,0.30,EUR
,68,3335,X0019P927P,Unsellable,1,0,,1,0,0.30,EUR
,69,983,X0013CESKP,Sellable,1,0,,1,0,0.30,EUR
,69,931,X0013CF93Z,Sellable,1,0,,1,0,0.55,EUR
,69,984,X0013CFUWP,Sellable,3,0,,3,0,0.90,EUR
,69,1174,X0013LFFHB,Sellable,1,0,,1,0,0.30,EUR
,69,1019,X0013LFNYB,Sellable,2,0,,2,0,0.60,EUR
,69,1054,X0013LGHPF,Sellable,1,0,,1,0,0.55,EUR
,69,1127,X0013LGJKN,Sellable,2,0,,2,0,2.30,EUR
,69,1334,X0014MYLC9,Sellable,1,0,,1,0,0.30,EUR
,69,1322,X0014N1MMZ,Sellable,12,0,,12,0,3.60,EUR
,69,1397,X0014N37AP,Sellable,3,0,,3,0,0.90,EUR
,69,1977,X0016JVA6P,Sellable,1,0,,1,0,0.30,EUR
,69,1955,X0016JVA8N,Sellable,1,0,,1,0,0.30,EUR
,69,1742,X0016JVACT,Sellable,1,0,,1,0,1.15,EUR
,69,1607,X0016JVAL5,Sellable,1,0,,1,0,0.30,EUR
,69,1996,X0016JVATH,Sellable,1,1,,0,0,,
,69,1892,X0016JVAUL,Sellable,1,0,,1,0,0.30,EUR
,69,1819,X0016JVB5P,Sellable,1,0,,1,0,0.55,EUR
,69,1939,X0016JVB6J,Sellable,1,0,,1,0,0.30,EUR
,69,1633,X0016JVB87,Sellable,1,0,,1,0,0.30,EUR
,69,1787,X0016K00SN,Sellable,1,0,,1,0,0.55,EUR
,69,1817,X0016K00Y7,Sellable,1,0,,1,0,0.30,EUR
,69,1618,X0016K015F,Sellable,1,0,,1,0,0.25,EUR
,69,1749,X0016K017D,Sellable,1,1,,0,0,,
,69,1959,X0016K0187,Sellable,1,0,,1,0,1.15,EUR
,69,1838,X0016K01AF,Sellable,1,0,,1,0,0.55,EUR
,69,1974,X0016K02TF,Sellable,1,0,,1,0,0.55,EUR
,69,1632,X0016K02V3,Sellable,1,1,,0,0,,
,69,1653,X0016K030N,Sellable,1,0,,1,0,0.30,EUR
,69,1925,X0016K038F,Sellable,1,0,,1,0,0.55,EUR
,69,1926,X0016K30Z3,Sellable,4,0,,4,0,1.20,EUR
,69,1919,X0016K3107,Sellable,1,0,,1,0,0.30,EUR
,69,1957,X0016K316V,Sellable,1,0,,1,0,0.30,EUR
,69,1820,X0016K4CZ5,Sellable,1,0,,1,0,0.55,EUR
,69,1624,X0016K4DEZ,Sellable,1,0,,1,0,0.30,EUR
,69,2000,X0016K4GSD,Sellable,1,0,,1,0,0.30,EUR
,69,1949,X0016K4GT7,Sellable,1,0,,1,0,0.30,EUR
,69,1640,X0016K4GYH,Sellable,1,0,,1,0,0.25,EUR
,69,1880,X0016K4H0F,Sellable,1,1,,0,0,,
,69,1910,X0016K4H1T,Sellable,2,0,,2,0,0.60,EUR
,69,2203,X00173L25J,Sellable,1,0,,1,0,0.30,EUR
,69,2072,X00173L26N,Sellable,1,0,,1,0,0.25,EUR
,69,2079,X00173L2GD,Sellable,1,0,,1,0,0.30,EUR
,69,2159,X00173L2IL,Sellable,1,0,,1,0,0.30,EUR
,69,2065,X00173OOL3,Sellable,1,0,,1,0,0.55,EUR
,69,2026,X00173UKUR,Sellable,2,0,,2,0,1.10,EUR
,69,2226,X00173VKM9,Sellable,1,0,,1,0,0.30,EUR
,69,2062,X00173VKPV,Sellable,2,0,,2,0,0.60,EUR
,69,2029,X00173VKQ5,Sellable,5,0,,5,0,2.75,EUR
,69,2128,X00173VKRT,Sellable,1,0,,1,0,0.55,EUR
,69,2071,X00173VKSN,Sellable,3,0,,3,0,0.90,EUR
,69,2067,X00173VKV5,Sellable,5,0,,5,0,2.75,EUR
,69,2137,X00173VKZV,Sellable,1,0,,1,0,0.55,EUR
,69,2035,X00173VL0F,Sellable,3,0,,3,0,0.90,EUR
,69,2418,X0017KFXN9,Sellable,1,0,,1,0,0.30,EUR
,69,2378,X0017KFXQL,Sellable,1,0,,1,0,0.25,EUR
,69,2495,X0017KFXT3,Sellable,1,0,,1,0,0.55,EUR
,69,2268,X0017KFXZ7,Sellable,1,0,,1,0,0.30,EUR
,69,2434,X0017KFY2T,Sellable,1,0,,1,0,0.30,EUR
,69,2428,X0017KHVCZ,Sellable,1,0,,1,0,0.30,EUR
,69,2285,X0017KHZDZ,Sellable,1,0,,1,0,0.30,EUR
,69,2589,X0017KHZUX,Sellable,1,0,,1,0,0.25,EUR
,69,2306,X0017KHZWB,Sellable,1,0,,1,0,0.30,EUR
,69,2489,X0017KHZZ3,Sellable,1,0,,1,0,0.30,EUR
,69,2364,X0017KI02Z,Sellable,1,0,,1,0,0.30,EUR
,69,2315,X0017KI07P,Sellable,1,0,,1,0,0.25,EUR
,69,2373,X0017KI0CF,Sellable,1,0,,1,0,0.30,EUR
,69,2368,X0017KIK11,Sellable,1,0,,1,0,0.30,EUR
,69,2607,X0017KIK1V,Sellable,1,0,,1,0,1.15,EUR
,69,2372,X0017KIK3J,Sellable,1,0,,1,0,0.55,EUR
,69,2354,X0017KIK75,Sellable,1,0,,1,0,0.30,EUR
,69,2297,X0017KIK7P,Sellable,1,0,,1,0,0.55,EUR
,69,2255,X0017KIK8J,Sellable,1,0,,1,0,0.30,EUR
,69,2613,X0017KIKCZ,Sellable,1,0,,1,0,0.30,EUR
,69,2624,X0017KIKDT,Sellable,1,0,,1,0,0.30,EUR
,69,2591,X0017KIKHP,Sellable,1,0,,1,0,0.30,EUR
,69,2404,X0017KIKK7,Sellable,1,0,,1,0,0.30,EUR
,69,2391,X0017KIKNJ,Sellable,1,0,,1,0,0.55,EUR
,69,2389,X0017KIKOX,Sellable,1,0,,1,0,0.55,EUR
,69,2393,X0017KIKTD,Sellable,1,0,,1,0,0.30,EUR
,69,2363,X0017KIKZ7,Sellable,1,0,,1,0,0.25,EUR
,69,2633,X0017M7RJF,Sellable,2,0,,2,0,0.60,EUR
,69,2715,X00180GNJ1,Sellable,1,0,,1,0,0.30,EUR
,69,2699,X00180IUGF,Sellable,1,0,,1,0,0.30,EUR
,69,2803,X001876911,Sellable,1,0,,1,0,0.30,EUR
,69,2797,X00187691V,Sellable,4,0,,4,0,2.20,EUR
,69,2758,X0018769A7,Sellable,1,0,,1,0,0.55,EUR
,69,2814,X001876TFH,Sellable,4,0,,4,0,1.20,EUR
,69,2820,X001876TIJ,Sellable,1,0,,1,0,0.30,EUR
,69,2813,X001876TKH,Sellable,4,0,,4,0,1.20,EUR
,69,2776,X001876Y5R,Sellable,2,0,,2,0,2.30,EUR
,69,2754,X001877YSX,Sellable,1,0,,1,0,0.55,EUR
,69,2917,X0018FKIY7,Sellable,2,0,,2,0,0.60,EUR
,69,2915,X0018FKJ0F,Sellable,2,0,,2,0,0.60,EUR
,69,2966,X0018FKJ0P,Sellable,2,0,,2,0,0.60,EUR
,69,2963,X0018FKJ6J,Sellable,1,0,,1,0,0.25,EUR
,69,2931,X0018FKJJ1,Sellable,2,0,,2,0,1.10,EUR
,69,2988,X0018FKJO1,Sellable,1,0,,1,0,0.55,EUR
