afnRemovalOrderId,amazonId,source,requestDate,lastUpdate,orderType,warehouseId,orderStatus,totalRemovalFee,removalFeeCurrency
,8U820kCah3,Seller-configured Automated Unfulfillable Removal System,2021-11-21,2022-02-28,Return,1,Completed,1.60,EUR
,Se2J3Dqo/b,Seller-configured Automated Unfulfillable Removal System,2021-10-06,2021-10-06,Return,1,Completed,0.60,EUR
,LANG0921,Seller-initiated Flat File,2021-09-18,2021-10-19,Return,1,Completed,69.45,EUR
,BADBSR0921,Seller-initiated Flat File,2021-09-18,2021-10-19,Return,1,Completed,18.85,EUR
,wklt0OpLyK,Seller-configured Automated Unfulfillable Removal System,2021-09-06,2021-09-23,Return,1,Completed,1.70,EUR
,210825KMP,Seller-initiated Manual Removal,2021-08-25,2021-08-25,Return,1,Completed,0.00,EUR
,20c34mlccf,Seller-configured Automated Unfulfillable Removal System,2021-08-20,2021-09-21,Return,1,Completed,1.35,EUR
,p5WEQTCxHh,Seller-configured Automated Unfulfillable Removal System,2021-08-05,2021-09-20,Return,1,Completed,1.15,EUR
,vl7kkCc228,Seller-configured Automated Unfulfillable Removal System,2021-07-20,2021-09-17,Return,1,Completed,1.15,EUR
,vl6kjJt232,Seller-configured Automated Unfulfillable Removal System,2021-06-20,2021-09-15,Return,1,Completed,0.30,EUR
,vl5kf3M310,Seller-configured Automated Unfulfillable Removal System,2021-05-20,2021-09-03,Return,1,Completed,0.00,EUR
,210513N9W,Seller-initiated Manual Removal,2021-05-13,2021-05-14,Return,1,Completed,0.70,EUR
,CHADOGmai,Seller-initiated Manual Removal,2021-05-12,2021-05-14,Return,1,Completed,0.95,EUR
,CLASS10MIN,Seller-initiated Flat File,2021-05-05,2021-06-07,Return,1,Completed,73.25,EUR
,CLASSSUP10,Seller-initiated Flat File,2021-05-05,2021-06-07,Return,1,Completed,28.55,EUR
,vl4khXX194,Seller-configured Automated Unfulfillable Removal System,2021-04-20,2021-08-24,Return,1,Completed,0.00,EUR
,vl49cR2297,Seller-configured Automated Unfulfillable Removal System,2021-04-09,2021-08-04,Return,1,Completed,0.00,EUR
,21032515BB,Seller-initiated Manual Removal,2021-03-25,2021-03-26,Return,1,Completed,0.90,EUR
,21032514CF,Seller-initiated Manual Removal,2021-03-25,2021-03-26,Return,1,Completed,0.45,EUR
,210323LBH,Seller-initiated Manual Removal,2021-03-23,2021-03-23,Return,1,Completed,1.80,EUR
,210317XQG,Seller-initiated Manual Removal,2021-03-17,2021-03-18,Liquidations,,Completed,0.00,EUR
,210317XJH,Seller-initiated Manual Removal,2021-03-17,2021-03-17,Return,1,Completed,0.25,EUR
,210317XFP,Seller-initiated Manual Removal,2021-03-17,2021-03-18,Return,1,Completed,0.50,EUR
,vl35hF3237,Seller-configured Automated Unfulfillable Removal System,2021-03-05,2021-06-20,Return,1,Completed,1.75,EUR
,vl25gTH260,Seller-configured Automated Unfulfillable Removal System,2021-02-05,2021-05-28,Return,1,Completed,0.90,EUR
,vl1kgTd245,Seller-configured Automated Unfulfillable Removal System,2021-01-20,2021-02-24,Return,1,Completed,8.55,EUR
,vl15gtX094,Seller-configured Automated Unfulfillable Removal System,2021-01-05,2021-01-14,Return,1,Completed,2.15,EUR
,vkckfG1135,Seller-configured Automated Unfulfillable Removal System,2020-12-20,2021-01-13,Return,1,Completed,3.30,EUR
,dxaiQRKwJ5,Automated Stranded Removal System,2020-12-19,2021-01-27,Disposal,,Completed,1.80,EUR
,vkbkgaN098,Seller-configured Automated Unfulfillable Removal System,2020-11-20,2020-11-30,Return,1,Completed,0.65,EUR
,vkb5fRs127,Seller-configured Automated Unfulfillable Removal System,2020-11-05,2021-01-28,Return,1,Completed,0.90,EUR
,2010291ARH,Seller-initiated Manual Removal,2020-10-29,2020-10-31,Return,1,Completed,1.50,EUR
,vkakeW6042,Seller-configured Automated Unfulfillable Removal System,2020-10-20,2020-11-05,Return,1,Completed,3.90,EUR
,2010181PU2,Seller-initiated Manual Removal,2020-10-19,2020-10-22,Return,1,Completed,12.25,EUR
,20100710L,Seller-initiated Manual Removal,2020-10-07,2020-10-09,Return,1,Completed,0.25,EUR
,vka5eLb016,Seller-configured Automated Unfulfillable Removal System,2020-10-05,2020-12-15,Return,1,Completed,7.50,EUR
,vk9qeH1996,Seller-configured Automated Unfulfillable Removal System,2020-09-26,2020-10-08,Return,1,Completed,0.00,EUR
,200903NQI,Seller-initiated Manual Removal,2020-09-03,2020-09-07,Return,1,Completed,1.00,EUR
,200901DR7,Seller-initiated Manual Removal,2020-09-01,2020-11-04,Return,1,Completed,2.25,EUR
,vk8ketX968,Seller-configured Automated Unfulfillable Removal System,2020-08-20,2020-10-22,Return,1,Completed,0.00,EUR
,200819N5A,Seller-initiated Manual Removal,2020-08-19,2020-08-26,Return,1,Completed,0.00,EUR
,AOUT19,Seller-initiated Flat File,2020-08-19,2020-10-20,Return,1,Completed,0.00,EUR
,AOUT140820,Seller-initiated Flat File,2020-08-14,2020-10-06,Return,1,Completed,0.00,EUR
,vk85e4o049,Seller-configured Automated Unfulfillable Removal System,2020-08-05,2020-09-16,Return,1,Completed,0.00,EUR
,2008058RL,Seller-initiated Manual Removal,2020-08-05,2020-08-21,Return,1,Completed,0.00,EUR
,AOUT190720,Seller-initiated Flat File,2020-07-31,2020-08-06,Return,1,Completed,0.00,EUR
,vk7kdN3092,Seller-configured Automated Unfulfillable Removal System,2020-07-20,2020-07-31,Return,1,Completed,1.00,EUR
,JUIN190720,Seller-initiated Flat File,2020-07-16,2020-07-25,Return,1,Completed,0.25,EUR
,vk75dye042,Seller-configured Automated Unfulfillable Removal System,2020-07-05,2020-07-13,Return,1,Completed,2.00,EUR
,vk6kd4b032,Seller-configured Automated Unfulfillable Removal System,2020-06-20,2020-07-13,Return,1,Completed,2.00,EUR
,2006161O6U,Seller-initiated Manual Removal,2020-06-17,2020-06-19,Return,1,Completed,0.25,EUR
,200616PSD,Seller-initiated Manual Removal,2020-06-16,2020-06-24,Return,1,Completed,1.25,EUR
,vk55cqw040,Seller-configured Automated Unfulfillable Removal System,2020-05-05,2020-05-28,Return,1,Completed,4.00,EUR
,vk3k8Pe097,Seller-configured Automated Unfulfillable Removal System,2020-03-20,2020-04-08,Return,1,Completed,0.25,EUR
,vk25a6G205,Seller-configured Automated Unfulfillable Removal System,2020-02-05,2020-03-12,Return,1,Completed,0.75,EUR
,200204F8E,Seller-initiated Manual Removal,2020-02-04,2020-02-11,Return,1,Completed,4.25,EUR
,200204F6Y,Seller-initiated Manual Removal,2020-02-04,2020-02-08,Return,1,Completed,1.75,EUR
,vk1kanL143,Seller-configured Automated Unfulfillable Removal System,2020-01-20,2020-01-22,Return,1,Completed,0.75,EUR
,vk159Ic035,Seller-configured Automated Unfulfillable Removal System,2020-01-05,2020-01-15,Return,1,Completed,0.75,EUR
,1912276TO,Seller-initiated Manual Removal,2019-12-27,2019-12-28,Return,1,Completed,1.25,EUR
,191225L4E,Seller-initiated Manual Removal,2019-12-25,2019-12-30,Return,1,Completed,2.00,EUR
,1912258SP,Seller-initiated Manual Removal,2019-12-25,2019-12-28,Return,1,Completed,0.25,EUR
,vjc59O3103,Seller-configured Automated Unfulfillable Removal System,2019-12-05,2020-01-08,Return,1,Completed,0.75,EUR
,vjbk9XD176,Seller-configured Automated Unfulfillable Removal System,2019-11-20,2020-01-07,Return,1,Completed,0.50,EUR
,1911157EV,Seller-initiated Manual Removal,2019-11-15,2019-12-23,Return,1,Completed,0.25,EUR
,19111579T,Seller-initiated Manual Removal,2019-11-15,2019-12-23,Return,1,Completed,0.50,EUR
,191115778,Seller-initiated Manual Removal,2019-11-15,2019-11-18,Return,1,Completed,0.25,EUR
,xjbeeBb861,Amazon-initiated Automated Unfulfillable Removal System,2019-11-14,2019-11-21,Disposal,,Cancelled,0.00,EUR
,191107JLM,Seller-initiated Manual Removal,2019-11-07,2019-11-12,Return,1,Completed,34.25,EUR
,1910265SK,Seller-initiated Manual Removal,2019-10-26,2019-11-02,Return,1,Completed,0.25,EUR
,xjapckB433,Amazon-initiated Automated Unfulfillable Removal System,2019-10-25,2019-11-01,Disposal,,Cancelled,0.00,EUR
,19100268M,Seller-initiated Manual Removal,2019-10-02,2019-10-07,Return,1,Completed,1.00,EUR
,191002664,Seller-initiated Manual Removal,2019-10-02,2019-10-06,Return,1,Completed,1.25,EUR
,190923L86,Seller-initiated Manual Removal,2019-09-23,2019-10-20,Return,1,Completed,0.25,EUR
,190731ANM,Seller-initiated Manual Removal,2019-07-31,2019-08-05,Return,1,Completed,1.50,EUR
,19071747M,Seller-initiated Manual Removal,2019-07-17,2019-08-16,Return,1,Completed,0.75,EUR
,1907041T86,Seller-initiated Manual Removal,2019-07-05,2019-08-16,Return,1,Completed,0.50,EUR
,xj74ewX787,Amazon-initiated Automated Unfulfillable Removal System,2019-07-04,2019-07-11,Disposal,,Cancelled,0.00,EUR
,xj5ue7V486,Amazon-initiated Automated Unfulfillable Removal System,2019-05-30,2019-06-21,Disposal,,Completed,0.10,EUR
,1904262Y5,Seller-initiated Manual Removal,2019-04-26,2019-05-13,Return,1,Completed,0.25,EUR
,xj4q5sE147,Amazon-initiated Automated Unfulfillable Removal System,2019-04-26,2019-05-03,Disposal,,Cancelled,0.00,EUR
