countryCode,urlImage,productName,salesRanking30DaysAvg,salesRanking90DaysAvg,salesRanking180DaysAvg,salesRankingReference,reviewsRating,reviewsCount,amazonCurrent,amazon30DaysAvg,amazon90DaysAvg,amazon180DaysAvg,amazonLowest,amazonHighest,amazon90DaysOOS,newCurrent,new30DaysAvg,new90DaysAvg,new180DaysAvg,newThirdPartyFBACurrent,newThirdPartyFBA30DaysAvg,newThirdPartyFBA90DaysAvg,newThirdPartyFBA180DaysAvg,newThirdPartyFBALowest,fbaPickPackFee,newThirdPartyFBMCurrent,newThirdPartyFBM30DaysAvg,newThirdPartyFBM90DaysAvg,newThirdPartyFBM180DaysAvg,newOffersCurrentCount,newOffers90DaysAvgCount,countRetrievedLiveOffersNewFBA,countRetrievedLiveOffersNewFBM,buyBoxCurrent,buyBox30DaysAvg,buyBox90DaysAvg,buyBox180DaysAvg,buyBoxLowest,buyBoxHighest,buyBoxSeller,buyBoxIsFBA,buyBoxUnqualified,urlAmazon,urlKeepa,categoriesRoot,categoriesSub,asin,ean,brand,numberOfItems,packageLengthCm,packageWidthCm,packageHeightCm,packageWeightG,isHazmat
de,https://m.media-amazon.com/images/I/51ir1RUBoZL.jpg;https://m.media-amazon.com/images/I/51C3Uv9ETmL.jpg,Au prochain arrêt,392123,417938,463291,Bücher,4.3,203,€ 7.90,€ 7.90,€ 7.90,€ 7.90,€ 7.90,€ 7.90,0 %,€ 7.90,€ 7.90,€ 7.90,€ 7.90,,,,,,€ 2.04,€ 14.99,€ 14.99,€ 14.90,€ 14.86,5,6,1,4,€ 7.90,€ 7.90,€ 7.90,€ 7.90,€ 7.90,€ 7.90,Amazon,yes,no,https://www.amazon.de/dp/2330179049,https://keepa.com/#!product/3-2330179049,Bücher,"Unterhaltungsliteratur, Literatur",2330179049,9782330179045,,,17.5,11.1,1.7,140,
de,https://m.media-amazon.com/images/I/71adfNKePeL.jpg,L'enfer au collège,1393373,1858133,1893106,Bücher,4.6,107,€ 5.90,€ 5.90,€ 5.90,€ 5.90,€ 5.70,€ 7.33,0 %,€ 5.90,€ 5.90,€ 5.90,€ 5.90,,,,,,€ 2.04,€ 12.94,€ 12.94,€ 12.91,€ 12.88,6,7,1,5,€ 5.90,€ 5.90,€ 5.90,€ 5.90,€ 5.70,€ 7.33,Amazon,yes,no,https://www.amazon.de/dp/2408015685,https://keepa.com/#!product/3-2408015685,Bücher,Belletristik,2408015685,9782408015688,MILAN,,18,11.8,1.5,83,
de,https://m.media-amazon.com/images/I/81dayqO+fhL.jpg,Les grandes grandes vacances 2/Pris dans la tourmente,1298628,1203024,1023171,Bücher,4.8,264,€ 7.50,€ 7.50,€ 7.50,€ 7.50,€ 6.04,€ 8.45,0 %,€ 7.50,€ 7.50,€ 7.50,€ 7.50,,,,,,€ 1.71,€ 14.37,€ 14.30,€ 14.29,€ 14.29,4,4,1,3,€ 7.50,€ 7.50,€ 7.50,€ 7.50,€ 6.04,€ 27.00,Amazon,yes,no,https://www.amazon.de/dp/2747051412,https://keepa.com/#!product/3-2747051412,Bücher,Kurzgeschichten,2747051412,9782747051415,BAYARD JEUNESSE,,17.8,12.2,1,20,
de,https://m.media-amazon.com/images/I/51EeQhIKI1L.jpg,Livre à gratter avec autocollants - Chevaux: Plus de 150 stickers,,,,,,,€ 7.38,€ 8.97,€ 9.47,€ 9.73,€ 7.38,€ 10.00,0 %,€ 7.38,€ 8.97,€ 9.47,€ 9.73,,,,,,€ 2.20,€ 16.72,€ 16.72,€ 16.70,€ 16.68,4,4,1,3,€ 7.38,€ 8.97,€ 9.47,€ 9.73,€ 7.38,€ 10.00,Amazon,yes,no,https://www.amazon.de/dp/2354134932,https://keepa.com/#!product/3-2354134932,Bücher,Beschäftigungsbücher,2354134932,9782354134938,MINEDITION,,27.8,21.4,1,220,
de,https://m.media-amazon.com/images/I/41l6ocI3JmL.jpg;https://m.media-amazon.com/images/I/01VjaT6MigL.jpg,Burn after writing - ÉDITION FRANÇAISE,1271039,1206797,1140023,Bücher,4.5,5012,€ 12.65,€ 12.68,€ 15.42,€ 14.89,€ 10.75,€ 17.75,0 %,€ 12.65,€ 12.68,€ 15.42,€ 14.89,,,,,€ 11.99,€ 2.49,€ 18.39,€ 18.39,€ 18.35,€ 18.34,6,6,1,5,€ 12.65,€ 12.68,€ 15.42,€ 14.89,€ 10.75,€ 19.14,Amazon,yes,no,https://www.amazon.de/dp/2849336211,https://keepa.com/#!product/3-2849336211,Bücher,Partnerschaft & Beziehungen,2849336211,9782849336212,,,20.4,13.5,1.5,150,
de,https://m.media-amazon.com/images/I/41fsIe5yY7L.jpg,"Le manoir saison 1, Tome 01: Liam et la carte d'éternité",1153303,894342,694899,Bücher,4.5,402,€ 7.04,€ 7.89,€ 8.16,€ 8.23,€ 6.72,€ 13.98,0 %,€ 7.04,€ 7.61,€ 7.82,€ 7.63,,,,,€ 5.97,€ 2.55,,€ 15.75,€ 15.61,€ 15.50,6,8,1,4,€ 7.04,€ 7.89,€ 8.16,€ 8.23,€ 5.88,€ 9.43,Amazon,yes,no,https://www.amazon.de/dp/2747086070,https://keepa.com/#!product/3-2747086070,Bücher,Belletristik,2747086070,9782747086073,BAYARD JEUNESSE,,17.8,12.4,2.7,280,
de,https://m.media-amazon.com/images/I/51Svmcy6aIL.jpg;https://m.media-amazon.com/images/I/51rZDVg6izL.jpg;https://m.media-amazon.com/images/I/519lsPwpuLL.jpg;https://m.media-amazon.com/images/I/41anh6-lCWL.jpg;https://m.media-amazon.com/images/I/51fIVPLFe-L.jpg;https://m.media-amazon.com/images/I/41STo-HK3tL.jpg,Abdos express: 40 séances de 15 minutes sans matériel - 3 niveaux de pratique,,,,,4.3,20,€ 10.00,€ 10.00,€ 10.00,€ 10.00,€ 10.00,€ 10.00,0 %,€ 10.00,€ 10.00,€ 10.00,€ 10.00,,€ 10.00,€ 10.00,€ 10.00,€ 10.00,€ 2.55,,€ 18.10,€ 18.10,€ 18.10,6,6,1,4,€ 10.00,€ 10.00,€ 10.00,€ 10.00,€ 10.00,€ 10.00,Amazon,yes,no,https://www.amazon.de/dp/2757604848,https://keepa.com/#!product/3-2757604848,Bücher,"Fitness, Sport allgemein",2757604848,9782757604847,AMPHORA,,23.9,21.1,0.9,670,
de,https://m.media-amazon.com/images/I/4187juXuCbL.jpg;https://m.media-amazon.com/images/I/41-3FjOQ-gL.jpg,"Moi, j'y crois - Mes anges, mes guides, mes prémonitions",3345732,3286840,3183623,Bücher,4.5,535,€ 16.90,€ 15.40,€ 16.21,€ 16.09,€ 15.09,€ 16.90,0 %,€ 16.30,€ 15.38,€ 16.20,€ 15.98,€ 16.30,€ 15.76,€ 15.75,€ 15.75,€ 15.75,€ 2.65,€ 22.78,€ 22.72,€ 22.72,€ 22.72,7,6,2,5,€ 16.90,€ 15.40,€ 16.21,€ 15.98,€ 15.09,€ 21.63,Amazon,yes,no,https://www.amazon.de/dp/2813225347,https://keepa.com/#!product/3-2813225347,Bücher,"Geister & Spiritismus, Parawissenschaft",2813225347,9782813225344,,,22,14.8,1.7,310,
de,https://m.media-amazon.com/images/I/71oyt89UcaL.jpg,Les grands saints en BD,2175026,2133172,2074058,Bücher,4.6,46,€ 17.90,€ 16.50,€ 17.20,€ 17.52,€ 11.85,€ 61.38,0 %,€ 17.90,€ 16.50,€ 17.18,€ 17.51,,€ 19.20,€ 19.20,€ 19.20,€ 19.20,€ 4.63,€ 24.51,€ 25.80,€ 25.83,€ 25.84,7,7,1,6,€ 17.90,€ 16.50,€ 17.20,€ 17.52,€ 11.85,€ 24.40,Amazon,yes,no,https://www.amazon.de/dp/2747076865,https://keepa.com/#!product/3-2747076865,Bücher,Religion,2747076865,9782747076869,BAYARD JEUNESSE,,27.6,22,1.9,990,
de,https://m.media-amazon.com/images/I/51dYkG01vAS.jpg;https://m.media-amazon.com/images/I/31ibXXgZd-S.jpg;https://m.media-amazon.com/images/I/41Tq5QjsroS.jpg;https://m.media-amazon.com/images/I/31mwzVFcRJS.jpg;https://m.media-amazon.com/images/I/4158kpORF7S.jpg;https://m.media-amazon.com/images/I/41PwbsibJ-S.jpg;https://m.media-amazon.com/images/I/41HedjVdXWS.jpg;https://m.media-amazon.com/images/I/41zGQnCqtPS.jpg;https://m.media-amazon.com/images/I/41GqP+PhnAS.jpg;https://m.media-amazon.com/images/I/41BwZ2Hvy+S.jpg,Le Loup,2176290,2002558,1913160,Bücher,4.9,111,€ 9.90,€ 9.90,€ 9.90,€ 9.90,€ 9.38,€ 9.90,2 %,€ 9.90,€ 10.44,€ 10.08,€ 9.99,,,,,,€ 2.20,€ 26.83,€ 17.72,€ 17.52,€ 17.49,2,4,0,1,€ 9.90,€ 9.90,€ 9.90,€ 9.90,€ 9.38,€ 9.90,Amazon,yes,no,https://www.amazon.de/dp/2732499625,https://keepa.com/#!product/3-2732499625,Bücher,Kinderbücher,2732499625,9782732499628,,,21.1,20.9,1.1,330,
de,https://m.media-amazon.com/images/I/51cmYbYQBWL.jpg,Rome,4789508,4694932,4525914,Bücher,4.4,7,,,,,€ 9.05,€ 25.00,100 %,€ 15.99,€ 14.50,€ 18.00,€ 16.84,€ 15.99,€ 15.99,€ 15.96,€ 15.98,€ 15.96,€ 2.49,,€ 24.92,€ 24.92,€ 24.92,1,1,1,0,€ 15.99,€ 14.50,€ 14.92,€ 15.29,€ 9.90,€ 38.68,3rd Party (A1KMZ1Z9ARJW0H),yes,no,https://www.amazon.de/dp/2371042838,https://keepa.com/#!product/3-2371042838,Bücher,"Freizeit, Haus & Garten, Reiseführer, Heranwachsen & Soziales Umfeld, Reisen, Schwierige Themen, Reisen",2371042838,9782371042834,QUELLE HISTOIRE,,16,12,1,120,
