skuId,sku,countryCode,fnsku,skuAcquisitionCostExc,skuAcquisitionCostInc,skuAfnTotalQuantity,skuAverageSellingPriceInc,skuAverageNetMargin,skuAverageNetMarginPercentage,skuAverageReturnOnInvestmentRate,skuAverageDailyReturnOnInvestmentRate,isActive,numberOfActiveDays,numberOfUnitSold,skuAverageUnitSoldPerDay,skuRestockAlertQuantity,skuIsTest
,"Expodif-nov.19-6,33-125",FR,null,6.13,6.47,0,25.95,9.91,0.38190,1.61660,0.14730,FALSE,null,1,0.14,1,FALSE
,"Expodif-nov.19-5,28-126-LANG",FR,null,5.13,5.42,0,19.95,7.18,0.35990,1.39960,0.01698,FALSE,null,4,0.02,1,FALSE
,"Expodif-nov.19-4,75-127-LANG",FR,null,4.63,4.89,0,18.00,3.91,0.23640,0.84450,0.00192,FALSE,null,2,0.00,1,FALSE
,"Expodif-nov.19-5,28-128-LANG",FR,null,5.13,5.42,0,19.90,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-6,54-129-LANG",FR,null,6.33,6.68,0,24.95,8.54,0.34230,1.34910,0.00459,FALSE,null,2,0.01,1,FALSE
,"Expodif-nov.19-4,22-130-LANG",FR,null,4.13,4.36,0,15.90,5.33,0.33520,1.29060,0.00170,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-4,75-131-LANG",FR,X0013LGFBL,4.63,4.89,0,17.90,-2.64,-0.31850,-0.57020,-0.00081,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-4,75-132",FR,null,4.63,4.89,0,21.95,2.92,0.17170,0.62960,0.00290,FALSE,null,2,0.01,1,FALSE
,"Expodif-nov.19-10,55-133",FR,null,10.13,10.69,0,39.58,2.55,0.12510,0.25170,0.00119,FALSE,null,2,0.01,1,FALSE
,"Expodif-nov.19-7,91-134-LANG",FR,X0013LGHL9,7.63,8.05,0,29.95,11.58,0.38650,1.51710,0.01183,FALSE,null,2,0.01,1,FALSE
,"Expodif-nov.19-7,91-135-LANG",FR,X0013LGIPJ,7.63,8.05,0,29.95,10.46,0.34920,1.37090,0.00369,FALSE,null,2,0.00,1,FALSE
,"Expodif-nov.19-3,17-136-LANG",FR,null,3.13,3.31,0,15.00,5.57,0.37130,1.77960,0.00488,FALSE,null,2,0.00,1,FALSE
,"Expodif-nov.19-7,91-137",FR,null,7.63,8.05,0,30.00,null,null,null,null,FALSE,null,2,0.01,1,FALSE
,"Expodif-nov.19-12,66-138-LANG",FR,null,12.13,12.80,0,48.00,12.44,0.32790,1.02560,0.00546,FALSE,null,3,0.01,1,FALSE
,"Expodif-nov.19-7,91-139-LANG",FR,null,7.63,8.05,0,29.95,6.40,0.26710,0.83880,0.00170,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-5,28-140-LANG",FR,null,5.13,5.42,0,19.95,7.18,0.35990,1.39960,0.01258,FALSE,null,6,0.01,1,FALSE
,"Expodif-nov.19-3,69-141",FR,null,3.63,3.83,0,19.95,4.53,0.30110,1.24790,0.00558,FALSE,null,2,0.01,1,FALSE
,"Expodif-nov.19-4,75-142",FR,null,4.63,4.89,0,39.90,7.97,0.33990,1.72140,0.04449,FALSE,null,2,0.04,1,FALSE
,"Expodif-nov.19-2,11-143",FR,null,2.13,2.25,0,15.95,8.40,0.48730,3.94130,0.00914,FALSE,null,2,0.01,1,FALSE
