afnRemovalShipmentId,afnRemovalOrderId,dataStartTime,dataEndTime,requestDate,shipmentDate,skuId,fnsku,disposition,shippedQuantity,carrier,trackingNumber
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,3750,X001HTSSAP,Sellable,1,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,1279,X0014N2SFF,Sellable,1,LP,6G57940259470
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,3002,X0018PL4Y5,Sellable,1,LP,6G57940259470
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,1471,X0014N1P4F,Sellable,1,LP,6G57940259470
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,996,X0013LDMB7,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,3006,X0018XLFSR,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,3567,X001HACUOJ,Sellable,2,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,959,X0013CEYGN,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2265,X0017KIK7F,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2493,X0017KIKVB,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,1723,X0016JVAHJ,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2633,X0017M7RJF,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,3754,X001HTSS55,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2388,X0017KHVC5,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,913,X0013CERFL,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2343,X0017KI057,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,1167,X0013LDLM7,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2309,X0017KI06L,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2500,X0017KIK39,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2655,X0017MG7H3,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2402,X0017KIK4D,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2611,X0017KIJZX,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,1702,X0016JVAPB,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,3360,X001DZ73F9,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,1330,X0014N375P,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,1623,X0016JVAOR,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,3505,X001GXLLE7,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2371,X0017KFY0L,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,3569,X001HABPOF,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2374,X0017KI0BV,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,3583,X001HA94VL,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,1381,X0014MYL2T,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2459,X0017KIKQV,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,1206,X0013V7O11,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,1591,X0016K00DN,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2496,X0017KIKWF,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,3585,X001HA94V1,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,3489,X001GXMDGH,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,3575,X001HACUP3,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2311,X0017KIKD9,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,1603,X0016JVAIX,Sellable,1,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2345,X0017KHV6V,Sellable,2,DRUDE,003406018110100952650
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-17,1863,X0016K02WR,Sellable,1,LP,6G57939965351
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-17,1195,X0013LGHNH,Sellable,1,LP,6G57939965351
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,2232,X00173UKRF,Sellable,1,"LP, LP, LP, LP, LP","8G02037325316, 8G02037326269, 8G02037326139, 8G02037326009, 8G02037326146"
