fbaFeeId,asinId,packageLength,packageWidth,packageHeight,packageWeight,priceGridFbaFeeId
,312,19.4,13.8,4.6,260.0,6
,313,18.0,13.8,1.5,82.0,3
,314,18.0,13.8,1.5,83.0,3
,315,18.0,13.8,1.5,83.0,3
,316,18.0,13.8,1.5,83.0,3
,317,20.8,20.4,5.4,380.0,6
,318,33.4,23.0,5.0,300.0,8
,319,23.4,15.4,3.0,480.0,5
,320,19.2,13.6,1.6,82.0,3
,321,18.0,13.8,1.5,83.0,3
,322,18.0,13.8,1.5,83.0,3
,323,18.0,13.8,1.5,83.0,3
,324,18.0,13.8,1.5,83.0,3
,325,18.0,13.8,1.5,83.0,3
,326,18.0,13.8,1.5,83.0,3
,327,18.0,13.8,1.5,83.0,3
,328,18.0,13.8,1.5,83.0,3
,329,18.6,13.6,1.8,141.0,3
,330,18.0,13.8,1.5,83.0,3
,331,19.2,13.8,1.8,159.0,3
,332,18.0,13.8,1.5,83.0,3
,333,18.8,13.7,1.3,90.0,3
,334,18.0,13.8,1.5,83.0,3
,335,19.0,13.6,1.4,60.0,2
,336,19.0,13.6,1.6,100.0,3
,337,18.0,13.8,1.5,83.0,3
,338,23.1,15.0,2.0,380.0,4
,339,18.0,13.8,1.5,83.0,3
,340,21.1,15.5,2.9,690.0,5
,341,21.0,15.0,2.2,420.0,4
,342,22.1,15.2,2.9,450.0,5
,343,19.2,14.0,2.4,140.0,3
,344,21.2,14.8,1.2,80.0,3
,345,24.6,15.4,1.8,80.0,3
,346,18.4,13.6,1.6,100.0,3
,348,20.2,15.1,4.3,80.0,6
,349,25.7,23.2,13.2,1310.0,16
,350,19.2,13.8,1.8,120.0,3
,351,19.0,13.8,1.8,118.0,3
,352,18.0,13.8,1.5,83.0,3
,353,11.0,4.0,2.0,40.0,2
,354,18.0,13.8,1.5,83.0,3
,355,19.2,13.6,1.6,120.0,3
,356,22.4,14.2,2.3,380.0,4
,357,15.2,5.0,2.8,60.0,5
,358,19.2,13.8,2.6,140.0,5
,359,27.8,27.6,5.8,640.0,15
,360,18.4,13.6,1.4,100.0,3
,361,23.8,23.6,3.4,1780.0,11
,362,19.4,9.9,1.9,40.0,2
,363,27.2,15.4,4.2,220.0,6
,364,19.8,13.0,3.0,340.0,5
,365,23.2,17.8,1.5,381.0,4
,366,15.2,5.4,4.0,120.0,5
,367,15.0,5.4,3.6,60.0,5
,368,19.2,13.6,1.8,118.0,3
,369,22.3,14.0,2.0,160.0,3
,370,26.4,18.4,2.0,660.0,5
,371,22.4,14.0,3.0,500.0,5
,372,24.2,19.2,2.8,920.0,5
,373,18.0,13.8,1.5,83.0,3
,374,21.4,14.9,1.8,358.0,4
,375,20.8,13.6,2.8,440.0,5
,376,26.0,25.6,3.0,1941.0,18
,377,19.0,13.6,1.6,80.0,3
,378,18.9,13.6,1.4,100.0,3
,379,27.0,19.0,1.6,520.0,5
,380,20.6,14.2,2.2,400.0,4
,381,20.6,15.0,1.4,300.0,4
,382,21.4,14.9,1.8,358.0,4
,383,23.8,17.4,1.6,500.0,5
,384,20.4,15.4,3.8,80.0,5
,385,20.2,13.0,2.8,340.0,5
,386,23.6,18.0,1.6,740.0,5
,387,20.4,13.0,2.6,300.0,5
,388,28.4,23.0,2.2,1220.0,10
,389,20.4,13.0,2.6,300.0,5
,390,26.0,19.6,2.8,880.0,5
,391,24.8,20.4,2.0,620.0,5
,392,24.6,18.8,2.8,950.0,5
,393,20.8,13.4,3.0,420.0,5
,394,26.2,20.0,2.6,920.0,5
,395,24.2,18.6,2.6,840.0,5
,396,21.4,14.9,1.8,358.0,4
,397,23.8,21.4,2.4,1361.0,10
,398,23.6,15.8,3.0,700.0,5
,399,20.8,13.4,2.0,200.0,3
,400,21.4,14.9,1.8,358.0,4
,401,22.0,19.6,1.6,520.0,5
,402,23.8,15.2,3.6,620.0,5
,403,21.4,16.2,3.6,1200.0,10
,404,19.4,13.8,3.2,200.0,5
,405,18.0,13.8,1.5,200.0,3
,406,30.2,23.4,2.0,940.0,10
,407,25.4,20.2,3.4,1400.0,10
,408,25.8,20.2,2.2,1060.0,10
,409,10.0,4.1,2.3,60.0,2
,410,23.2,16.7,2.8,717.0,5
,411,28.2,21.4,3.8,1780.0,11
,412,29.6,21.6,2.4,1160.0,10
,413,29.2,23.2,2.8,1560.0,11
,414,27.2,21.2,4.0,1840.0,11
,415,12.4,5.8,3.8,100.0,5
,416,30.8,24.6,3.2,2481.0,12
,417,23.8,19.8,2.0,620.0,5
,418,25.2,20.2,4.6,1920.0,12
,419,15.2,5.4,3.4,60.0,5
,420,25.8,20.4,1.4,740.0,5
,421,20.2,8.8,1.8,40.0,2
,422,16.5,10.0,1.6,40.0,2
,423,18.6,7.8,2.0,80.0,3
,424,16.9,11.3,1.3,100.0,3
,425,15.0,3.2,1.4,20.0,2
,426,27.2,19.0,5.8,520.0,6
,427,20.8,8.2,8.0,920.0,10
,428,20.0,7.0,4.0,440.0,5
,429,21.6,6.0,2.2,450.0,4
,430,16.8,7.3,4.6,281.0,6
,431,20.5,7.7,7.6,810.0,9
,432,20.6,7.6,7.5,780.0,9
,433,25.4,8.5,8.0,820.0,9
,434,20.8,7.8,7.8,800.0,9
,435,24.0,16.0,2.2,450.0,4
,436,34.5,23.5,2.0,1460.0,11
,437,22.8,20.2,1.4,660.0,5
,438,22.6,15.4,2.6,660.0,5
,439,34.2,24.4,1.7,840.0,9
,440,21.8,14.0,1.6,260.0,4
,441,22.8,16.8,1.4,400.0,4
,442,30.0,24.8,4.2,1720.0,11
,443,36.4,26.6,1.2,600.0,15
,444,21.8,14.4,1.8,200.0,3
,445,24.0,16.0,3.4,600.0,5
,446,23.2,15.2,2.6,480.0,5
,447,24.0,16.0,3.8,800.0,5
,448,23.8,16.0,3.2,620.0,5
,449,25.6,18.6,1.4,600.0,5
,450,23.4,19.8,2.4,720.0,5
,451,24.0,16.2,2.5,640.0,5
,452,21.7,16.4,1.6,520.0,5
,453,23.0,15.0,2.6,420.0,5
,454,31.6,24.8,1.8,1360.0,10
,455,20.8,15.0,2.4,360.0,4
,456,22.9,16.0,2.3,540.0,5
,457,29.1,24.6,2.7,1770.0,11
,458,24.6,19.9,2.9,1040.0,10
,459,23.8,17.8,3.8,980.0,10
,460,25.6,21.0,2.2,1060.0,10
,461,21.3,16.0,2.0,320.0,4
,462,21.4,13.4,2.8,420.0,5
,463,22.8,15.0,3.0,520.0,5
,464,26.8,23.8,2.0,1120.0,10
,465,24.2,16.2,3.2,580.0,5
,466,30.6,23.8,2.6,1720.0,11
,467,25.2,20.8,2.6,1102.0,10
,468,21.8,14.7,1.5,220.0,4
,469,21.4,16.0,2.2,540.0,5
,470,25.7,22.3,3.2,1500.0,11
,471,23.8,16.0,3.0,840.0,5
,472,22.0,15.0,1.8,260.0,4
,473,23.2,16.0,3.6,699.0,5
,474,20.6,15.4,2.2,680.0,5
,475,29.8,21.4,3.0,1500.0,11
,476,22.0,14.0,2.4,520.0,5
,477,22.2,14.0,2.6,600.0,5
,478,24.8,16.8,3.2,1060.0,10
,479,21.8,14.4,2.2,280.0,4
,480,21.6,14.6,3.8,460.0,5
,481,31.6,26.4,1.4,720.0,15
,482,20.4,13.8,2.2,320.0,4
,483,26.2,19.5,1.7,860.0,5
,484,18.8,13.0,1.8,220.0,4
,485,18.8,13.0,1.6,180.0,3
,486,33.6,26.0,3.2,1880.0,17
,487,22.4,16.8,2.6,360.0,5
,488,23.9,19.1,1.7,810.0,5
,489,23.8,18.6,2.2,1120.0,10
,490,23.1,18.0,2.8,1110.0,10
,491,18.6,18.4,3.4,580.0,5
,492,22.8,14.8,2.0,300.0,4
,493,25.6,20.8,2.4,1080.0,10
,494,22.8,16.8,2.0,520.0,5
,495,24.7,19.6,1.7,870.0,5
,496,24.0,20.4,1.0,399.0,4
,497,25.6,19.0,2.2,960.0,5
,498,28.8,21.0,2.0,820.0,5
,499,24.0,16.0,1.5,240.0,4
,500,24.0,16.2,2.7,510.0,5
,501,31.0,24.0,2.0,1120.0,10
,502,22.1,20.8,4.1,1340.0,10
,503,29.4,21.6,2.2,1180.0,10
,504,20.0,13.6,2.2,160.0,3
,505,22.8,15.0,3.2,540.0,5
,506,23.9,16.1,3.2,610.0,5
,507,22.0,14.0,2.7,710.0,5
,508,27.9,19.9,0.9,460.0,4
,509,28.0,20.6,2.6,1400.0,10
,510,30.4,26.0,2.6,2140.0,18
,511,20.4,13.4,3.0,420.0,5
,512,21.8,14.0,1.9,320.0,4
,513,21.8,14.0,2.8,420.0,5
,514,20.8,14.0,2.5,340.0,4
,515,23.8,19.6,2.0,800.0,5
,516,23.8,18.0,2.8,1120.0,10
,517,20.6,13.8,1.2,180.0,3
,518,29.2,25.0,3.0,2020.0,12
,519,21.0,18.6,2.0,600.0,5
,520,29.6,25.8,2.6,1700.0,17
,521,23.8,16.1,3.2,600.0,5
,522,21.8,15.0,2.5,380.0,4
,523,20.1,12.4,2.3,520.0,5
,524,22.4,14.2,3.4,720.0,5
,525,21.8,14.0,2.4,380.0,4
,526,30.3,21.5,2.1,1420.0,11
,527,21.8,17.2,2.4,660.0,5
,528,35.2,26.0,7.8,5440.0,20
,529,20.8,15.0,2.4,380.0,4
,530,29.2,25.2,2.6,1500.0,17
,531,25.2,19.8,2.0,780.0,5
,532,23.0,15.8,3.4,500.0,5
,533,37.6,27.6,1.2,980.0,16
,534,27.2,19.6,1.0,481.0,5
,535,21.8,14.0,1.8,240.0,4
,536,21.6,16.2,2.8,680.0,5
,537,20.8,15.0,2.2,300.0,4
,538,23.0,17.9,2.6,1070.0,10
,539,23.8,15.6,3.6,680.0,5
,540,30.6,23.4,2.4,1800.0,11
,541,22.8,15.4,3.8,560.0,5
,542,22.0,18.0,1.5,420.0,4
,543,25.8,19.4,2.4,880.0,5
,544,21.3,13.7,2.3,360.0,4
,545,21.4,14.0,2.4,320.0,4
,546,24.0,15.5,4.6,1160.0,10
,547,24.2,17.6,1.8,820.0,5
,548,37.2,27.8,1.2,980.0,16
,549,22.2,21.2,1.6,780.0,5
,550,35.0,29.0,1.6,1080.0,16
,551,21.4,13.0,2.0,340.0,4
,552,28.4,28.0,1.6,640.0,15
,553,21.8,15.0,1.5,220.0,4
,554,21.8,15.0,2.0,340.0,4
,555,22.0,15.0,2.2,340.0,4
,556,28.8,28.2,1.8,660.0,15
,557,23.9,18.2,3.7,1120.0,10
,558,18.0,11.0,3.6,360.0,5
,559,33.2,25.6,1.6,600.0,15
,560,23.9,16.2,3.7,1000.0,10
,561,23.6,20.2,1.8,420.0,4
,562,22.9,15.0,2.3,380.0,4
,563,16.0,12.2,2.8,260.0,5
,564,29.4,22.8,1.4,762.0,5
,565,29.2,23.2,1.4,739.0,9
,566,17.5,12.0,1.8,380.0,4
,567,28.0,20.0,1.2,550.0,5
,568,22.8,15.0,3.0,500.0,5
,569,22.6,14.6,3.1,340.0,5
,570,22.0,15.0,2.6,420.0,5
,571,18.8,12.8,3.0,400.0,5
,572,16.2,15.6,1.8,280.0,4
,573,29.0,24.4,2.0,1340.0,10
,574,27.8,19.8,1.6,580.0,5
,575,37.3,29.6,3.9,4370.0,20
,576,18.9,13.5,2.2,380.0,4
,577,26.9,19.7,2.7,1400.0,10
,578,23.8,15.2,3.4,500.0,5
,579,22.4,14.6,2.4,520.0,5
,580,21.4,14.0,1.8,280.0,4
,581,27.0,24.4,3.9,2810.0,12
,582,21.8,15.0,1.2,400.0,4
,583,36.2,25.2,1.4,760.0,15
,584,21.6,14.4,2.4,540.0,5
,585,27.8,19.8,1.4,580.0,5
,586,20.8,14.4,4.0,540.0,5
,587,23.4,18.8,1.2,440.0,4
,588,21.6,20.0,1.6,480.0,5
,589,25.2,25.0,2.4,1540.0,11
,590,23.0,17.0,3.4,860.0,5
,591,23.8,16.0,2.0,200.0,3
