minimumSellingPriceId,skuId,pricingRuleId,enrolledInPanEu,eligibleForPanEu,minimumSellingPriceLocalAndPanEu,minimumSellingPriceEfn,maximumSellingPriceLocalAndPanEu,maximumSellingPriceEfn,currencyCode
,4045,1,TRUE,TRUE,13.88,16.41,20.82,24.62,EUR
,4046,1,FALSE,TRUE,9.03,12.6,13.54,18.9,EUR
,4048,1,TRUE,TRUE,12.68,16.25,19.02,24.38,EUR
,4049,1,TRUE,TRUE,11.62,15.19,17.43,22.79,EUR
,4050,1,TRUE,TRUE,10.44,14.01,15.66,21.02,EUR
,4051,1,TRUE,TRUE,12.65,15.94,18.98,23.91,EUR
,4052,1,TRUE,TRUE,34.43,36.97,51.64,55.45,EUR
,4053,1,TRUE,TRUE,23.03,25.56,34.55,38.34,EUR
,4057,1,TRUE,TRUE,38.4,42.03,57.6,63.05,EUR
,4058,1,TRUE,TRUE,11.49,14.78,17.23,22.17,EUR
,4059,1,FALSE,TRUE,19,22.06,28.5,33.09,EUR
,4060,1,TRUE,TRUE,13.49,16.47,20.23,24.7,EUR
,4062,1,TRUE,TRUE,62.24,70.14,93.36,105.21,EUR
,4063,1,TRUE,TRUE,62.24,70.14,93.36,105.21,EUR
,4064,1,FALSE,TRUE,8.32,11.89,12.48,17.84,EUR
,4066,1,FALSE,TRUE,40.5,44.6,60.75,66.9,EUR
