fbaFeeId,asinId,packageLength,packageWidth,packageHeight,packageWeight,priceGridFbaFeeId,fbaFeesLocalAndPanEu,fbaFeesEfn
,1847,17.8,11.0,3.4,340.0,5,4.94,6.17
,1848,17.8,12.6,2.0,200.0,3,4.79,5.57
,1849,12.8,7.0,2.2,120.0,3,6.77,5.57
,1850,21.8,19.6,0.6,240.0,4,3.34,5.61
,1851,12.6,12.6,3.0,220.0,5,3.34,6.17
,1852,24.7,19.1,1.7,560.0,5,3.34,6.17
,1853,17.8,10.8,1.8,160.0,3,2.80,5.57
,1854,22.8,15.0,2.8,440.0,5,3.34,6.17
,1855,20.9,14.5,1.4,240.0,4,3.34,5.61
,1856,20.4,14.4,1.2,340.0,4,3.82,5.61
,1857,20.6,14.4,1.4,200.0,3,4.45,5.57
,1858,21.0,14.5,2.2,300.0,4,4.45,5.61
,1859,20.8,14.5,1.8,220.0,4,6.40,5.61
,1860,20.8,14.6,1.4,220.0,4,3.34,5.61
,1861,20.8,14.4,1.2,140.0,3,6.24,5.57
,1862,20.8,14.4,3.0,440.0,5,2.80,6.17
,1863,21.8,14.2,1.7,270.0,4,4.79,5.61
,1864,19.0,12.7,1.2,168.0,3,4.45,5.57
,1865,21.8,14.0,1.6,222.0,4,3.82,5.61
,1866,22.0,14.0,3.2,700.0,5,4.45,6.17
,1867,21.8,14.0,2.0,222.0,4,4.45,5.61
,1868,19.0,11.8,1.6,140.0,3,3.34,5.57
,1869,18.9,12.0,1.6,60.0,2,3.34,5.22
,1870,20.2,12.0,1.4,159.0,3,4.45,5.57
,1871,21.8,14.0,1.4,220.0,4,4.45,5.61
,1872,21.8,14.0,2.6,320.0,5,4.45,6.17
,1873,21.8,14.0,2.0,320.0,4,3.34,5.61
,1874,21.8,14.0,2.4,381.0,4,3.82,5.61
,1875,21.8,14.0,2.6,599.0,5,4.45,6.17
,1876,22.0,14.0,2.6,322.0,5,9.55,6.17
,1877,22.6,13.8,2.8,340.0,5,3.34,6.17
,1878,20.5,14.0,1.6,410.0,4,3.34,5.61
,1879,30.0,21.8,0.6,118.0,3,4.45,5.57
,1880,20.8,14.0,2.6,580.0,5,3.82,6.17
,1881,17.6,11.6,1.0,60.0,1,3.82,5.06
,1882,17.8,12.0,1.4,120.0,3,3.82,5.57
,1883,21.0,15.1,2.7,560.0,5,4.45,6.17
,1884,17.8,11.9,1.5,140.0,3,4.45,5.57
,1885,21.2,14.0,1.8,220.0,4,4.45,5.61
,1886,17.8,12.0,3.0,360.0,5,4.45,6.17
,1887,17.8,12.9,1.3,160.0,3,4.45,5.57
,1888,17.4,12.8,1.2,100.0,3,6.16,5.57
,1889,16.8,16.8,1.8,440.0,4,4.45,5.61
