productCategoryRankId,countryCode,productCategoryId,rankingThreshold,rankingThresholdPercentage
408,FR,23,62453,0.01500
409,FR,23,41635,0.01000
410,FR,23,20818,0.00500
411,FR,23,4164,0.00100
412,FR,23,2082,0.00050
413,FR,23,416,0.00010
414,FR,23,0,0.00000
415,DE,1,5658390,1.00000
416,DE,1,2829195,0.50000
417,DE,1,2263356,0.40000
418,DE,1,1697517,0.30000
419,DE,1,1131678,0.20000
420,DE,1,848759,0.15000
421,DE,1,565839,0.10000
422,DE,1,282920,0.05000
423,DE,1,226336,0.04000
424,DE,1,169752,0.03000
425,DE,1,113168,0.02000
426,DE,1,84876,0.01500
427,DE,1,56584,0.01000
428,DE,1,28292,0.00500
429,DE,1,5658,0.00100
430,DE,1,2829,0.00050
431,DE,1,566,0.00010
432,DE,1,0,0.00000
433,DE,2,7544640,1.00000
434,DE,2,3772320,0.50000
435,DE,2,3017856,0.40000
436,DE,2,2263392,0.30000
437,DE,2,1508928,0.20000
438,DE,2,1131696,0.15000
439,DE,2,754464,0.10000
440,DE,2,377232,0.05000
441,DE,2,301786,0.04000
442,DE,2,226339,0.03000
443,DE,2,150893,0.02000
444,DE,2,113170,0.01500
445,DE,2,75446,0.01000
446,DE,2,37723,0.00500
447,DE,2,7545,0.00100
448,DE,2,3772,0.00050
449,DE,2,754,0.00010
450,DE,2,0,0.00000
451,DE,3,7755329,1.00000
452,DE,3,3877665,0.50000
453,DE,3,3102132,0.40000
454,DE,3,2326599,0.30000
455,DE,3,1551066,0.20000
456,DE,3,1163299,0.15000
457,DE,3,775533,0.10000
458,DE,3,387766,0.05000
459,DE,3,310213,0.04000
460,DE,3,232660,0.03000
461,DE,3,155107,0.02000
462,DE,3,116330,0.01500
463,DE,3,77553,0.01000
464,DE,3,38777,0.00500
465,DE,3,7755,0.00100
466,DE,3,3878,0.00050
467,DE,3,776,0.00010
468,DE,3,0,0.00000
469,DE,4,8846720,1.00000
470,DE,4,4423360,0.50000
471,DE,4,3538688,0.40000
472,DE,4,2654016,0.30000
473,DE,4,1769344,0.20000
474,DE,4,1327008,0.15000
475,DE,4,884672,0.10000
476,DE,4,442336,0.05000
477,DE,4,353869,0.04000
478,DE,4,265402,0.03000
479,DE,4,176934,0.02000
480,DE,4,132701,0.01500
481,DE,4,88467,0.01000
482,DE,4,44234,0.00500
483,DE,4,8847,0.00100
484,DE,4,4423,0.00050
485,DE,4,885,0.00010
486,DE,4,0,0.00000
487,DE,5,10625541,1.00000
488,DE,5,5312771,0.50000
489,DE,5,4250216,0.40000
490,DE,5,3187662,0.30000
491,DE,5,2125108,0.20000
492,DE,5,1593831,0.15000
493,DE,5,1062554,0.10000
494,DE,5,531277,0.05000
495,DE,5,425022,0.04000
496,DE,5,318766,0.03000
497,DE,5,212511,0.02000
498,DE,5,159383,0.01500
499,DE,5,106255,0.01000
500,DE,5,53128,0.00500
501,DE,5,10626,0.00100
502,DE,5,5313,0.00050
503,DE,5,1063,0.00010
504,DE,5,0,0.00000
505,DE,6,7205591,1.00000
506,DE,6,3602796,0.50000
507,DE,6,2882236,0.40000
508,DE,6,2161677,0.30000
509,DE,6,1441118,0.20000
510,DE,6,1080839,0.15000
511,DE,6,720559,0.10000
512,DE,6,360280,0.05000
513,DE,6,288224,0.04000
514,DE,6,216168,0.03000
515,DE,6,144112,0.02000
516,DE,6,108084,0.01500
517,DE,6,72056,0.01000
518,DE,6,36028,0.00500
519,DE,6,7206,0.00100
520,DE,6,3603,0.00050
521,DE,6,721,0.00010
522,DE,6,0,0.00000
523,DE,7,5382344,1.00000
524,DE,7,2691172,0.50000
525,DE,7,2152938,0.40000
526,DE,7,1614703,0.30000
527,DE,7,1076469,0.20000
528,DE,7,807352,0.15000
529,DE,7,538234,0.10000
530,DE,7,269117,0.05000
531,DE,7,215294,0.04000
532,DE,7,161470,0.03000
533,DE,7,107647,0.02000
534,DE,7,80735,0.01500
535,DE,7,53823,0.01000
536,DE,7,26912,0.00500
537,DE,7,5382,0.00100
538,DE,7,2691,0.00050
539,DE,7,538,0.00010
540,DE,7,0,0.00000
541,DE,8,7726261,1.00000
542,DE,8,3863131,0.50000
543,DE,8,3090504,0.40000
544,DE,8,2317878,0.30000
545,DE,8,1545252,0.20000
546,DE,8,1158939,0.15000
547,DE,8,772626,0.10000
