sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote
BOOK-04.23-4,33-224685587X	X001RE2XN3	224685587X	La disparition de Josef Mengele - Prix Renaudot 2017	New	18.00	No		Yes	3	3	0	0	3	565.68	0	0	0	0	0	0	3	0
BOOK-04.23-4,33-2732480193	X001RDXMPR	2732480193	Carnet du presque poète (nvelle édition)	New	16.90	No		Yes	0	0	0	0	0	1180.36	0	0	0	0	0	0	0	0
BOOK-04.23-4,33-2851809601	X001RDQ817	2851809601	Riposter - Abrégé de self-défense: Abrégé de self-défense	New	19.68	No		Yes	0	0	0	0	0	575.51	0	0	0	0	0	0	0	0
BOOK-04.23-4,34-B07T2DHD92	X001RE2TIR	B07T2DHD92	Les bizarres, Tome 01: Catastrophe à Huggabie City	New	13.13	No		Yes	1	1	0	0	1	539.95	0	0	0	0	0	0	1	0
BOOK-04.23-4,42-274992832X	X001RE2ACR	274992832X	Les Ailes d'Alexanne - tome 6 Sirènes - Tome 6 (06)	New	14.05	No		Yes	0	0	0	0	0	1138.25	0	0	0	0	0	0	0	0
BOOK-04.23-4,5-202135444X	X001RE2THN	202135444X	D'argent et de sang: Le roman vrai de la mafia du CO2	New	13.37	No		Yes	0	0	0	0	0	619.1	0	0	0	0	0	0	0	0
BOOK-04.23-4,5-2702914373	X001RE2WLB	2702914373	Un lotus s'épanouit	New	18.00	No		Yes	0	0	0	0	0	746.27	0	0	0	0	0	0	0	0
BOOK-04.23-4,5-2813209287	X001RE2ULX	2813209287	Le guide des vrais compléments alimentaires - Naturels et efficaces - Toutes les maladies de A à Z	New	18.00	No		Yes	6	6	0	0	6	844.75	0	0	0	0	0	0	6	0
BOOK-04.23-4,54-2412039305	X001RE2DVF	2412039305	Le Kit idéal - Mes joyeuses semaines avec Mathou	New	16.38	No		Yes	0	0	0	0	0	4602.8	0	0	0	0	0	0	0	0
BOOK-04.23-4,54-2745994344	X001RE29ZF	2745994344	L'histoire de la cuisine du mammouth à la pizza	New	14.23	No		Yes	0	0	0	0	0	637.29	0	0	0	0	0	0	0	0
BOOK-04.23-4,54-2849333948	X001RDQ8RL	2849333948	La magie du Hygge - Mettez de la douceur nordique dans votre vie	New	14.23	No		Yes	0	0	0	0	0	653.68	0	0	0	0	0	0	0	0
BOOK-04.23-4,62-2755629703	X001RDQC95	2755629703	The elements - Tome 02: Tout les oppose, mais rien ne pourra les séparer	New	16.71	No		Yes	0	0	0	0	0	982.57	0	0	0	0	0	0	0	0
BOOK-04.23-4,62-2755629762	X001RDXLM1	2755629762	Driven - Tome 06	New	15.87	No		Yes	0	0	0	0	0	1217.72	0	0	0	0	0	0	0	0
BOOK-04.23-4,62-2755633387	X001RE29O1	2755633387	Driven - Tome 08: Down shift	New	14.78	No		Yes	0	0	0	0	0	1219.85	0	0	0	0	0	0	0	0
BOOK-04.23-4,62-2810427739	X001RE29R3	2810427739	Sophie Marceau	New	11.88	No		Yes	0	0	0	0	0	1378.64	0	0	0	0	0	0	0	0
BOOK-04.23-4,62-281321812X	X001RE2A6D	281321812X	Efficacité et Bien-être au travail	New	15.20	No		Yes	0	0	0	0	0	588.62	0	0	0	0	0	0	0	0
