sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
CHAD-05.23-9,37-B01LYAPC7Z	X001SOUDP7	B01LYAPC7Z	Flexi nouvelle ceinture classique 5 m de S, noir	New	21.14	No		Yes	21	19	1	1	21	688.26	0	0	0	0	0	0
EXOT-08.22-4,61-B008LF7AUE	X001MNAW1T	B008LF7AUE	Cantu Shea Butter for Natural Hair Coconut Oil Shine & Hold Mist 237 ml	New	14.24	No		Yes	0	0	0	0	0	516.03	0	0	0	0	0	0
EXPO-11.21-6,33-2263162445	X001GXLJXP	2263162445	Les copains d'abord - 80 recettes faciles et conviviales	New	22.59	No		Yes	0	0	0	0	0	1520.06	0	0	0	0	0	0
EXPO-11.21-6,54-2732490369	X001GXLLBZ	2732490369	Woman: Le Livre du film	New	21.45	No		Yes	17	17	0	0	17	1378.64	0	0	0	0	0	0
EXPO-11.21-7,91-2324027186	X001GXJHP7	2324027186	Dictionnaire amoureux illustré des Jardins	New	28.04	No		Yes	0	0	0	0	0	1837.48	0	0	0	0	0	0
EXPO-avr.21-3,38-2365493890	X001DZ8FDN	2365493890	30 plats végé céto	New	11.46	No		Yes	0	0	0	0	0	279.07	0	0	0	0	0	0
Expodif-mai20-3,14-244	X0016K00BF	2747050815	Les enquêtes d'Alfred et Agatha, Tome 01: L'affaire des oiseaux	New	8.32	No		Yes	0	0	0	0	0	530.61	0	0	0	0	0	0
LBM-03.23-1,45-B008LXZZ4E	X001QM9G77	B008LXZZ4E	Ecostyle Gel coiffant à l'huile d'olive, vert, tenue toute la journée, sans alcool, sans paraben, sans sulfate, sans écaillage, anti-démangeaisons, 236 ml	New	14.09	No		Yes	46	46	0	0	46	566.99	0	0	0	0	0	0
LBM-03.23-11,4-B005IXIID0	X001QM08FB	B005IXIID0	Crazy Color 4x100ml. # 44 Capri Blue	New	34.19	No		Yes	0	0	0	0	0	910.14	0	0	0	0	0	0
LBM-03.23-11,4-B009M393GI	X001QM06CL	B009M393GI	Renbow Crazy Colour Lot de 4 teintures semi-permanentes Aubergine n°50 100 ml	New	33.97	No		Yes	0	0	0	0	0	932.75	0	0	0	0	0	0
LBM-03.23-11,4-B009M395BG	X001QM08FV	B009M395BG	Crazy Colour Semi Permanent Hair Dye By Renbow Lilac No.55 (100ml) Box of 4	New	33.97	No		Yes	3	3	0	0	3	1003.22	0	0	0	0	0	0
LBM-03.23-11,4-B009M397AK	X001QM06EJ	B009M397AK	Renbow Crazy Color Lot de 4 teintures semi-permanentes Violet vif n°62 100 ml	New	29.81	No		Yes	0	0	0	0	0	1958.25	0	0	0	0	0	0
